State-Year,Area,Region
New South Wales 2002,322.7,New South Wales 
New South Wales 2008,370.1,New South Wales 
New South Wales 2014,390,New South Wales 
New South Wales 2020,360.1,New South Wales 
Victoria 2002,359.9,Victoria
Victoria 2008,422.1,Victoria
Victoria 2014,433.1,Victoria
Victoria 2020,386.6,Victoria
Tasmania 2002,213.4,Tasmania
Tasmania 2008,294.1,Tasmania
Tasmania 2014,310.7,Tasmania
Tasmania 2020,282.5,Tasmania
Queensland 2002,208,Queensland 
Queensland 2008,250.6,Queensland 
Queensland 2014,233.5,Queensland 
Queensland 2020,205.4,Queensland 
South Australia 2002,149.4,South Australia
South Australia 2008,181.8,South Australia
South Australia 2014,188.5,South Australia
South Australia 2020,172.3,South Australia
Western Australia 2002,351.6,Western Australia
Western Australia 2008,416.5,Western Australia
Western Australia 2014,391.5,Western Australia
Western Australia 2020,309.8,Western Australia
Northern Territory 2002,7,Northern Territory
Northern Territory 2008,29.5,Northern Territory
Northern Territory 2014,44.7,Northern Territory
Northern Territory 2020,49.3,Northern Territory
Australian Capital Territory 2002,15.9,Australian Capital Territory
Australian Capital Territory 2008,7.9,Australian Capital Territory
Australian Capital Territory 2014,7.7,Australian Capital Territory
Australian Capital Territory 2020,8.7,Australian Capital Territory